Player,Team,Region,Role,Price
Patmen,Global Esports,PAC,S,7.5
Xross,Nongshim RedForce,PAC,C,7.5
Kushy,Rex Regum Qeon,PAC,I,7.5
Lakia,Gen.G,PAC,I,7.5
eeiu,FURIA,AMER,I,7
seven,PCIFIC Esports,EMEA,S,7
Crewen,BBL Esports,EMEA,S,7
GLYPH,Gentle Mates,EMEA,C,7
starxo,Gentle Mates,EMEA,I,7
Boo,Team Heretics,EMEA,C,7
Boaster,FNATIC,EMEA,C,7
Sheydos,Karmine Corp,EMEA,I,7
xavi8k,Global Esports,PAC,C,7
SugarZ3ro,ZETA DIVISION,PAC,C,7
Ivy,Nongshim RedForce,PAC,S,7
kellyS,Team Secret,PAC,D,7
crazyguy,Rex Regum Qeon,PAC,I,7
mwzera,KRU Esports,AMER,I,6.5
Cauanzin,LOUD,AMER,I,6.5
Zellsis,Cloud9,AMER,C,6.5
P0PPIN,ENVY,AMER,I,6.5
Vora,100 Thieves,AMER,I,6.5
C0M,Evil Geniuses,AMER,I,6.5
pancada,LOUD,AMER,C,6.5
supamen,Evil Geniuses,AMER,C,6.5
koalanoob,FURIA,AMER,S,6.5
Rossy,ENVY,AMER,C,6.5
baha,FUT Esports,EMEA,C,6.5
MrFalin,FUT Esports,EMEA,I,6.5
Sylvan,Team Secret,PAC,C,6.5
artzin,FURIA,AMER,C,6
Inspire,ENVY,AMER,S,6
Saadhak,KRU Esports,AMER,C,6
al0rante,PCIFIC Esports,EMEA,C,6
NINJA,PCIFIC Esports,EMEA,I,6
sturNN,ULF Esports,EMEA,S,6
KROSTALY,FUT Esports,EMEA,I,6
Caedye,Detonation FocusMe,PAC,C,6
C1ndeR,VARREL,PAC,C,6
Yatsuka,Detonation FocusMe,PAC,S,6
audaz,ULF Esports,EMEA,C,5.5
Rose,BBL Esports,EMEA,I,5.5
nekky,ULF Esports,EMEA,I,5.5
Xdll,ZETA DIVISION,PAC,I,5.5
BerserX,Team Secret,PAC,S,5.5
SSeeS,Detonation FocusMe,PAC,I,5.5
SyouTa,ZETA DIVISION,PAC,S,5.5
nerve,FURIA,AMER,C,5
qpert,PCIFIC Esports,EMEA,C,5
Jessievash,Team Secret,PAC,I,5
