held_out,train_mean_r,v2_retune_r,v2_baseline_r,delta,cal,rec,ens_eb,ens_ridge,ens_ema,pickrate_w
2024 Stage 1,0.44828175837277096,0.3986785175187178,0.42169231011204833,-0.02301379259333053,plus_2026KS,v2_default,0.2,0.8,0.0,0.05
2024 Stage 2,0.4364811086500793,0.48128306557755973,0.5190253644656483,-0.037742298888088555,plus_2026KS,v2_default,0.2,0.8,0.0,0.05
2025 Kickoff,0.4693202406035874,0.2514091419030029,0.26339986252411335,-0.011990720621110451,plus_2026KS,v2_default,0.2,0.8,0.0,0.05
2025 Stage 1,0.4247530308928676,0.5633796098780414,0.5342847265929329,0.029094883285108453,plus_2026KS,v2_default,0.2,0.8,0.0,0.05
2025 Stage 2,0.4305586864856173,0.5227400207287936,0.5521540559412264,-0.0294140352124328,plus_2026KS,v2_default,0.2,0.8,0.0,0.05
2026 Kickoff,0.4477663427519519,0.4022864268644514,0.3599075258974443,0.04237890096700708,plus_2026KS,v2_default,0.2,0.8,0.0,0.05
2026 Santiago,0.4388547323488609,0.3533272643271121,0.3563836227950467,-0.0030563584679346167,v2_default,v2_default,0.6,0.33,0.07,0.05
2026 Stage 1,0.4513793478896631,0.376995390900473,0.3897646783363374,-0.012769287435864363,plus_2026KS,v2_default,0.2,0.8,0.0,0.05
