Player,Team,actual_ppg,games,Manual,Algo1_Combined,Algo2_v2
Yetujey,FUT Esports,7.4,5,7.5,8.5,7.5
Vora,100 Thieves,6.2,5,7.5,10.5,8.0
Xeppaa,Cloud9,4.6,5,7.5,12.0,8.0
starxo,Gentle Mates,4.6,5,7.5,11.5,8.0
Kr1stal,Global Esports,4.4,5,7.5,9.5,7.0
purp0,Team Liquid,7.6,5,7.5,9.5,7.5
XuNa,VARREL,5.0,5,7.5,7.5,7.0
Eggsterr,ENVY,4.4,5,7.5,9.0,8.5
Favian,Eternal Fire,9.8,5,7.5,7.5,5.5
cNed,PCIFIC Esports,4.4,5,7.5,6.0,7.0
kellyS,Team Secret,6.2,5,7.5,9.5,5.5
Rossy,ENVY,7.4,5,7.5,10.0,8.0
Leviathan,FULL SENSE,5.8,5,7.5,8.5,7.5
GLYPH,Gentle Mates,5.0,5,7.5,10.0,8.0
xavi8k,Global Esports,4.6,5,7.5,10.5,10.0
silentzz,KRÜ Esports,6.2,5,7.5,8.5,6.0
Munchkin,T1,7.2,5,7.5,12.0,9.5
nerve,FURIA,5.6,5,7.0,8.5,7.5
Klaus,VARREL,5.0,5,7.0,7.0,7.0
Flickless,GIANTX,7.4,5,7.0,8.5,7.5
blowz,LEVIATÁN,7.4,5,7.0,9.0,6.0
seven,PCIFIC Esports,5.6,5,7.0,8.0,10.0
Stax,T1,6.0,5,7.0,12.5,8.5
Absol,ZETA DIVISION,7.8,5,7.0,7.5,5.5
Boaster,FNATIC,8.0,5,7.0,9.5,6.0
Ash,Gen.G,7.5,4,7.0,10.5,7.5
Grubinho,GIANTX,5.0,5,7.0,6.5,7.0
crazyguy,Rex Regum Qeon,7.4,5,7.0,8.0,7.0
Boo,Team Heretics,6.4,5,7.0,10.0,6.5
Bao,Evil Geniuses,3.2,5,6.5,10.5,7.5
al0rante,PCIFIC Esports,4.8,5,6.5,8.5,8.5
Akame,Detonation FocusMe,8.0,5,6.5,9.0,7.0
P0PPIN,ENVY,5.0,5,6.5,10.0,6.0
nekky,Eternal Fire,5.8,5,6.5,8.0,5.5
