Player,Year,Team,Region,reg_avg,reg_n,intl_avg,intl_n
Derke,2024,FNATIC,EMEA,9.421052631578947,19,7.8,10
Derke,2025,Team Vitality,EMEA,7.166666666666667,12,13.375,8
Derke,2026,Team Vitality,EMEA,10.777777777777779,9,10.833333333333334,6
Derrek,2024,Evil Geniuses,AMER,5.6,10,7.5,2
Derrek,2025,Evil Geniuses,AMER,6.142857142857143,14,5.0,3
Deryeon,2024,BLEED,?,3.9,10,7.0,2
Dos9,2025,BOOM Esports,?,7.166666666666667,12,4.5,2
Dos9,2026,Karmine Corp,EMEA,6.0,5,8.0,4
Dynamite,2026,Titan Esports Club,CN,6.125,8,7.75,4
Eggsterr,2026,ENVY,AMER,4.4,5,6.8,5
Elite,2024,BBL Esports,EMEA,7.4,10,5.5,2
Elite,2025,Karmine Corp,EMEA,6.9,10,6.333333333333333,3
Enzo,2024,Team Liquid,EMEA,4.454545454545454,11,2.6666666666666665,3
Erv,2026,TYLOO,CN,7.333333333333333,9,8.142857142857142,7
Estrella,2024,Rex Regum Qeon,PAC,5.0,10,5.5,2
Estrella,2025,DRX,PAC,4.928571428571429,14,8.75,4
Ethan,2024,NRG,?,6.6,10,7.666666666666667,3
Ethan,2026,NRG Esports,AMER,6.777777777777778,9,6.769230769230769,13
Ezeir,2026,Nova Esports,CN,3.2,5,2.3333333333333335,3
Famouz,2025,BOOM Esports,?,7.416666666666667,12,9.0,2
Favian,2026,Eternal Fire,EMEA,8.555555555555555,9,4.5,4
FengF,2025,Trace Esports,CN,5.833333333333333,6,0.0,2
Filu,2025,KOI,EMEA,5.3,10,7.0,2
Filu,2026,Natus Vincere,EMEA,6.6,5,6.4,5
Fit1nho,2024,GIANTX,EMEA,4.9,10,5.0,2
Flashback,2024,DRX,PAC,11.0,9,7.5,8
Flashback,2025,DRX,PAC,8.3,10,9.533333333333333,15
Flex1n,2025,Dragon Ranger Gaming,CN,8.0,9,3.5,2
Flex1n,2026,Dragon Ranger Gaming,CN,6.181818181818182,11,4.8,5
Flickless,2025,GIANTX,EMEA,7.538461538461538,13,4.6,5
Flickless,2026,GIANTX,EMEA,7.4,5,6.2,5
Flyuh,2025,KOI,EMEA,4.5,10,3.0,2
Foxy9,2024,DRX,PAC,7.75,16,6.375,8
Foxy9,2025,Gen.G,PAC,9.0,13,8.6,10
Francis,2025,Nongshim RedForce,PAC,8.142857142857142,14,10.4,5
Francis,2026,Nongshim RedForce,PAC,9.166666666666666,6,11.375,8
Free1ng,2025,DRX,PAC,7.25,16,8.733333333333333,15
Free1ng,2026,DRX,PAC,6.5,8,7.833333333333333,6
GLYPH,2026,Gentle Mates,EMEA,5.142857142857143,7,7.333333333333333,9
GREEN,2026,Nova Esports,CN,1.8,5,5.333333333333333,3
Gobera,2025,ENVY,AMER,4.2,10,3.0,2
Governor,2024,TALON,?,5.785714285714286,14,5.4,5
Governor,2025,Apeks,?,1.8,5,4.75,4
Grubinho,2025,GIANTX,EMEA,6.75,16,4.714285714285714,7
Grubinho,2026,GIANTX,EMEA,5.0,5,4.8,5
GuanG,2026,Nova Esports,CN,2.6,5,6.0,3
Gyen,2025,Detonation FocusMe,PAC,4.181818181818182,11,5.25,4
HYUNMIN,2025,DRX,PAC,10.625,16,10.6,15
HYUNMIN,2026,DRX,PAC,8.5,8,10.0,6
Haodong,2026,Titan Esports Club,CN,4.5,8,7.75,4
Happywei,2025,Xi Lai Gaming,CN,10.25,8,4.8,5
INVY,2025,Team Secret,PAC,7.1,10,4.5,2
