Team,Player,Stage,Wk,Game,Pts,T.Pts,P.Pts,PPM,Adj.VP,P?,0k,5k,10k,15k,20k,25k,30k,35k,40k,45k,50k,4ks,5ks,6ks,7ks,TOP3,TOP2,TOP1,1.5R2,1.75R2,2.0R2,PR Avg.,W/L,Game Start VP,Game End VP
100 Thieves,Asuna,Kickoff,W1,UR1,6,2,4,2.0,8.0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,W,9.792539,8.040579
100 Thieves,Asuna,Kickoff,W1,UR2,7,3,4,2.33,8.0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,L,8.040579,8.230795
100 Thieves,Asuna,Kickoff,W1,MR1,8,5,3,2.67,8.0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,W,8.230795,7.971282
100 Thieves,Asuna,Kickoff,W1,MR2,7,4,3,3.5,8.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,W,7.971282,7.94733
100 Thieves,Asuna,Kickoff,W1,LR1,0,0,0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,L,7.94733,7.94733
100 Thieves,Asuna,Kickoff,W1,LR2,0,0,0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,L,7.94733,7.94733
100 Thieves,Asuna,Kickoff,W1,UR3,0,0,0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,L,7.94733,7.94733
100 Thieves,Asuna,Kickoff,W1,MR3,3,0,3,1.5,8.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.4,L,7.94733,8.162484
100 Thieves,Asuna,Kickoff,W1,LR3,6,4,2,3.0,8.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17,W,8.162484,8.050028
100 Thieves,Asuna,Kickoff,W1,UF,0,0,0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17,L,8.050028,8.050028
100 Thieves,Asuna,Kickoff,W1,MR4,0,0,0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17,L,8.050028,8.050028
100 Thieves,Asuna,Kickoff,W1,LR4,8,4,4,2.67,8.0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29,W,8.050028,8.202986
100 Thieves,Asuna,Kickoff,W1,LR5,-1,-1,0,-0.5,8.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,L,8.202986,8.003004
100 Thieves,Asuna,Kickoff,W1,MF,0,0,0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,L,8.003004,8.003004
100 Thieves,Asuna,Kickoff,W1,LF,0,0,0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,L,8.003004,8.003004
100 Thieves,Asuna,Santiago,W1,SR1,0,0,0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,L,8.003004,8.003004
100 Thieves,Asuna,Santiago,W1,SR2,0,0,0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,L,8.003004,8.003004
100 Thieves,Asuna,Santiago,W1,SR3,0,0,0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,L,8.003004,8.003004
100 Thieves,Asuna,Santiago,W2,UQF,0,0,0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,L,8.003004,8.003004
100 Thieves,Asuna,Santiago,W2,LR1,0,0,0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,L,8.003004,8.003004
100 Thieves,Asuna,Santiago,W2,USF,0,0,0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,L,8.003004,8.003004
100 Thieves,Asuna,Santiago,W2,LR2,0,0,0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,L,8.003004,8.003004
100 Thieves,Asuna,Santiago,W3,UF,0,0,0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,L,8.003004,8.003004
100 Thieves,Asuna,Santiago,W3,LR3,0,0,0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,L,8.003004,8.003004
100 Thieves,Asuna,Santiago,W3,LF,0,0,0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,L,8.003004,8.003004
100 Thieves,Asuna,Santiago,W3,GF,0,0,0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,L,8.003004,8.003004
100 Thieves,Asuna,Stage 1,,G1,0,0,0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,L,8.003004,8.003004
100 Thieves,Asuna,Stage 1,,G2,0,0,0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,L,8.003004,8.003004
100 Thieves,Asuna,Stage 1,,G3,0,0,0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,L,8.003004,8.003004
100 Thieves,Asuna,Stage 1,,G4,0,0,0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,L,8.003004,8.003004
100 Thieves,Asuna,Stage 1,,G5,0,0,0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,L,8.003004,8.003004
100 Thieves,Asuna,Stage 1,,UR1,0,0,0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,L,8.003004,8.003004
