,,Stage,Wk,Game,Pts,T.Pts,P.Pts,PPM,Adj.VP,P?,0k,5k,10k,15k,20k,25k,30k,35k,40k,45k,50k,4ks,5ks,TOP3,TOP2,TOP1,1.5R2,1.75R2,2.0R2,PR Avg.,W/L,Game Start VP,Game End VP
100 Thieves,Asuna,Stage 1,,G16,11,4,7,5.5,,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,W,,
100 Thieves,Asuna,Stage 1,,G17,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 1,,G18,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 1,,G19,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 1,,G20,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 1,,G21,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 1,,G22,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 1,,G23,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 1,,G24,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 1,,G25,3,1,2,1.0,,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 1,,G26,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 1,,G27,11,4,7,5.5,,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,W,,
100 Thieves,Asuna,Stage 1,,G28,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 1,,G29,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 1,,G30,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 1,,G31,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 1,,G32,10,4,6,5.0,,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,W,,
100 Thieves,Asuna,Stage 1,,G33,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 1,,G34,12,4,8,4.0,,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,W,,
100 Thieves,Asuna,Stage 1,,G35,7,3,4,2.33,,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,W,,
100 Thieves,Asuna,Stage 1,,G36,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 1,,G37,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 1,,G38,10,5,5,3.33,,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,W,,
100 Thieves,Asuna,Shanghai,,G1,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Shanghai,,G2,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Shanghai,,G3,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Shanghai,,G4,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Shanghai,,G5,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Shanghai,,G6,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Shanghai,,G7,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Shanghai,,G8,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Shanghai,,G9,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Shanghai,,G10,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Shanghai,,G11,6,5,1,3.0,,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,W,,
100 Thieves,Asuna,Shanghai,,G12,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Shanghai,,G13,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Shanghai,,G14,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Shanghai,,G15,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Shanghai,,G16,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Shanghai,,G17,4,0,4,2.0,,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,L,,
100 Thieves,Asuna,Shanghai,,G18,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Shanghai,,G19,11,3,8,3.67,,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,W,,
100 Thieves,Asuna,Shanghai,,G20,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Shanghai,,G21,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Shanghai,,G22,5,-1,6,2.5,,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,L,,
100 Thieves,Asuna,Shanghai,,G23,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Shanghai,,G25,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 2,,G1,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 2,,G2,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 2,,G3,5,0,5,2.5,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 2,,G4,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 2,,G5,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 2,,G6,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 2,,G7,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 2,,G8,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 2,,G9,3,0,3,1.5,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 2,,G10,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 2,,G11,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 2,,G12,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 2,,G13,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 2,,G14,7,4,3,3.5,,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,W,,
100 Thieves,Asuna,Stage 2,,G15,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 2,,G16,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
