year,stage,model,n,pearson_r,spearman_rho,mae,mean_price,median_price
2024,Stage 1,Algo1_Combined,158,0.3655366676525093,0.3845751207381428,3.462030567884999,9.439873417721518,9.0
2024,Stage 1,Algo2_v2,168,0.4281040999248378,0.439337895112212,3.0636009327973617,8.985119047619047,8.5
2024,Stage 1,v3,168,0.40059768062983225,0.3923321816826161,3.054587327355184,8.94047619047619,8.5
2024,Stage 2,Algo1_Combined,159,0.4045065788145411,0.42593499086019293,3.360724268743137,9.5,9.0
2024,Stage 2,Algo2_v2,171,0.5287409423595336,0.548059652943029,3.0031212289984217,8.982456140350877,8.5
2024,Stage 2,v3,171,0.22324402122877424,0.2554605573339247,3.318228441474056,8.953216374269006,8.5
2025,Kickoff,Manual,182,0.5361289827096992,0.5581864744659956,2.8794211542893766,9.523766257153845,9.297163403999999
2025,Kickoff,Algo1_Combined,116,0.3788431998926714,0.3762365413269295,2.5586925287356324,9.254310344827585,9.0
2025,Kickoff,Algo2_v2,182,0.24933935003050806,0.22781606560650958,3.0638736263736264,8.986263736263735,8.5
2025,Kickoff,v3,182,-0.10881701470501129,-0.05846663216394895,3.3640567765567764,8.961538461538462,8.5
2025,Stage 1,Manual,188,0.4235718779006978,0.42558196067441634,2.8730810208398343,9.55842882294149,9.272927176
2025,Stage 1,Algo1_Combined,179,0.4487225896551666,0.4263728347817538,3.1545601667110046,9.815642458100559,9.5
2025,Stage 1,Algo2_v2,188,0.5344381873092369,0.525487823453084,2.582849966227626,8.981382978723405,8.5
2025,Stage 1,v3,188,0.3522201249683324,0.3128268705319326,2.8564821850726103,8.944148936170214,8.5
2025,Stage 2,Manual,184,0.5054208119509173,0.4916317861444384,2.880710165476959,9.66144130348913,9.470388212
2025,Stage 2,Algo1_Combined,164,0.4584775521563856,0.4550708203213597,3.3049018055115615,10.246951219512194,10.0
2025,Stage 2,Algo2_v2,184,0.561882767366068,0.5568699810131762,2.4869963219148006,8.980978260869565,8.5
2025,Stage 2,v3,184,0.3878864046768663,0.4280271316370005,2.619825388982998,8.983695652173912,8.5
2026,Kickoff,Manual,188,0.6497616773995528,0.6569594887546342,2.6921946914893615,9.795600489361702,9.779637000000001
2026,Kickoff,Algo1_Combined,172,0.3132897001009729,0.3275838170505962,3.060880398671096,9.779069767441861,9.5
2026,Kickoff,Algo2_v2,188,0.35631717281639735,0.37862731445722836,2.750050658561297,8.981382978723405,8.5
2026,Kickoff,v3,188,0.19445565221560393,0.2177910248797746,3.080711752786221,8.965425531914894,8.5
2026,Santiago,Manual,50,0.25365056057111085,0.25732063038551073,3.8857611771428564,10.61824568,10.810660500000001
2026,Santiago,Algo1_Combined,50,0.6468498685604553,0.6566441433846041,4.91547619047619,12.06,12.0
2026,Santiago,Algo2_v2,50,0.3202574657040596,0.2591547928694039,2.905,8.95,8.5
2026,Santiago,v3,50,0.2701593841882287,0.20035233429027996,3.047857142857142,8.95,8.5
2026,Stage 1,Manual,159,0.571966730746838,0.5298973390808251,2.6250524109014672,9.254716981132075,8.5
2026,Stage 1,Algo1_Combined,167,0.3427734379596285,0.3412296064854541,3.495109780439122,10.209580838323353,10.0
2026,Stage 1,Algo2_v2,168,0.38335309519343497,0.373644787059985,2.5939484126984125,8.985119047619047,8.5
2026,Stage 1,v3,168,0.23482316988203664,0.1979667483742014,2.809424603174603,8.985119047619047,8.5
